shipment_id,order_id,ship_date,expected_delivery_date,actual_delivery_date,carrier,shipping_cost
10254,10254,2024-05-31,2024-06-06,2024-06-06,Carrier B,71.15
10255,10255,2024-06-01,2024-06-07,2024-06-08,Carrier D,77.25
10256,10256,2024-05-30,2024-06-06,2024-06-04,Carrier B,73.73
10257,10257,2024-06-01,2024-06-03,2024-06-03,Carrier C,17.99
10258,10258,2024-05-30,2024-06-06,2024-06-07,Carrier C,14.7
10259,10259,2024-06-02,2024-06-04,2024-06-04,Carrier D,46.37
10260,10260,2024-05-31,2024-06-06,2024-06-06,Carrier A,58.35
10261,10261,2024-06-02,2024-06-05,2024-06-05,Carrier C,56.15
10262,10262,2024-06-02,2024-06-07,2024-06-07,Carrier C,29.62
10263,10263,2024-05-31,2024-06-04,2024-06-04,Carrier B,64.2
10264,10264,2024-06-01,2024-06-07,2024-06-07,Carrier C,37.11
10265,10265,2024-06-02,2024-06-03,2024-06-03,Carrier A,23.9
10266,10266,2024-06-02,2024-06-08,2024-06-15,Carrier D,63.27
10267,10267,2024-06-01,2024-06-06,2024-06-06,Carrier C,29.89
10268,10268,2024-06-01,2024-06-06,2024-06-06,Carrier D,47.15
10269,10269,2024-05-31,2024-06-04,2024-06-04,Carrier B,16.41
10270,10270,2024-05-31,2024-06-06,2024-06-07,Carrier B,12.2
10271,10271,2024-05-31,2024-06-06,2024-06-06,Carrier D,20.81
10272,10272,2024-05-31,2024-06-08,2024-06-08,Carrier A,6.95
10273,10273,2024-06-01,2024-06-05,2024-06-05,Carrier D,56.92
10274,10274,2024-05-31,2024-06-06,2024-06-06,Carrier A,51.24
10275,10275,2024-06-01,2024-06-03,2024-06-03,Carrier D,77.85
10276,10276,2024-06-02,2024-06-06,2024-06-06,Carrier C,68.44
10277,10277,2024-05-31,2024-06-06,2024-06-06,Carrier B,21.48
10278,10278,2024-06-02,2024-06-04,2024-06-04,Carrier B,71.27
10279,10279,2024-06-01,2024-06-03,2024-06-02,Carrier B,26.66
10280,10280,2024-06-02,2024-06-06,2024-06-06,Carrier A,56.23
10281,10281,2024-05-31,2024-06-06,2024-06-06,Carrier B,5.62
10282,10282,2024-05-31,2024-06-05,2024-06-06,Carrier C,14.38
10283,10283,2024-05-31,2024-06-07,2024-06-07,Carrier D,40.56
10284,10284,2024-06-01,2024-06-08,2024-06-08,Carrier B,19.36
10285,10285,2024-06-01,2024-06-06,2024-06-08,Carrier C,54.57
10286,10286,2024-06-01,2024-06-03,2024-06-03,Carrier D,36.03
10287,10287,2024-06-01,2024-06-08,2024-06-07,Carrier C,80.69
10288,10288,2024-06-02,2024-06-05,2024-06-07,Carrier D,66.2
10289,10289,2024-05-31,2024-06-07,,Carrier D,64.64
10290,10290,2024-06-02,2024-06-06,2024-06-07,Carrier B,27.59
10291,10291,2024-06-02,2024-06-04,2024-06-04,Carrier B,48.42
10292,10292,2024-06-02,2024-06-05,2024-06-05,Carrier D,84.24
10293,10293,2024-05-31,2024-06-07,,Carrier C,6.95
10294,10294,2024-06-01,2024-06-06,2024-06-06,Carrier D,6.6
10295,10295,2024-06-01,2024-06-06,2024-06-06,Carrier D,68.35
10296,10296,2024-05-31,2024-06-07,2024-06-07,Carrier A,27.61
10297,10297,2024-06-02,2024-06-04,2024-06-03,Carrier D,27.83
10298,10298,2024-06-02,2024-06-08,2024-06-08,Carrier B,15.1
10299,10299,2024-06-01,2024-06-05,,Carrier B,84.08
10300,10300,2024-06-01,2024-06-05,2024-06-07,Carrier D,56.51
10301,10301,2024-06-02,2024-06-03,2024-06-03,Carrier A,51.99
10302,10302,2024-06-02,2024-06-07,2024-06-07,Carrier D,57.1
10303,10303,2024-05-31,2024-06-08,2024-06-13,Carrier B,11.25
10304,10304,2024-06-02,2024-06-07,2024-06-08,Carrier D,55.05
10305,10305,2024-06-02,2024-06-08,2024-06-15,Carrier D,62.58
10306,10306,2024-05-31,2024-06-06,2024-06-06,Carrier B,72.17
10307,10307,2024-06-01,2024-06-04,2024-06-04,Carrier A,66.99
10308,10308,2024-06-02,2024-06-06,2024-06-06,Carrier B,10.99
10309,10309,2024-06-01,2024-06-08,2024-06-08,Carrier A,6.78
10310,10310,2024-05-31,2024-06-08,2024-06-08,Carrier D,22.6
10311,10311,2024-06-01,2024-06-03,2024-06-03,Carrier A,76.8
10312,10312,2024-06-02,2024-06-03,2024-06-03,Carrier D,72.6
10313,10313,2024-05-31,2024-06-03,2024-06-04,Carrier A,74.08
10314,10314,2024-06-01,2024-06-05,2024-06-05,Carrier D,24.95
10315,10315,2024-06-02,2024-06-04,2024-06-02,Carrier C,5.61
10316,10316,2024-06-01,2024-06-04,2024-06-04,Carrier D,26.66
10317,10317,2024-05-31,2024-06-06,2024-06-09,Carrier C,84.73
10318,10318,2024-06-02,2024-06-03,2024-06-03,Carrier D,60.02
10319,10319,2024-06-02,2024-06-03,2024-06-03,Carrier D,26.57
10320,10320,2024-06-02,2024-06-07,2024-06-07,Carrier C,15.1
10321,10321,2024-06-02,2024-06-04,2024-06-04,Carrier B,12.03
10322,10322,2024-06-01,2024-06-09,2024-06-09,Carrier B,30.93
10323,10323,2024-06-03,2024-06-04,2024-06-04,Carrier A,76.8
10324,10324,2024-06-01,2024-06-09,2024-06-09,Carrier C,52.25
10325,10325,2024-06-03,2024-06-09,2024-06-09,Carrier A,18.01
10326,10326,2024-06-01,2024-06-05,2024-06-05,Carrier B,30.41
10327,10327,2024-06-02,2024-06-09,2024-06-08,Carrier A,34.73
10328,10328,2024-06-01,2024-06-06,2024-06-06,Carrier D,57.13
10329,10329,2024-06-02,2024-06-07,2024-06-07,Carrier A,44.07
10330,10330,2024-06-03,2024-06-07,2024-06-07,Carrier A,5.07
10331,10331,2024-06-01,2024-06-08,2024-06-08,Carrier B,68.11
10332,10332,2024-06-01,2024-06-07,,Carrier D,69.42
10333,10333,2024-06-03,2024-06-04,2024-06-04,Carrier C,11.7
10334,10334,2024-06-02,2024-06-05,2024-06-10,Carrier C,14.13
10335,10335,2024-06-03,2024-06-07,2024-06-07,Carrier A,52.51
10336,10336,2024-06-03,2024-06-04,2024-06-04,Carrier B,28.38
10337,10337,2024-06-02,2024-06-09,2024-06-07,Carrier A,49.37
10338,10338,2024-06-03,2024-06-08,2024-06-08,Carrier B,74.18
10339,10339,2024-06-03,2024-06-05,2024-06-10,Carrier B,57.84
10340,10340,2024-06-02,2024-06-06,2024-06-04,Carrier C,16.7
10341,10341,2024-06-02,2024-06-09,2024-06-09,Carrier A,54.77
10342,10342,2024-06-03,2024-06-04,2024-06-04,Carrier B,34.94
10343,10343,2024-06-02,2024-06-04,2024-06-04,Carrier A,63.93
10344,10344,2024-06-02,2024-06-07,2024-06-07,Carrier A,17.44
10345,10345,2024-06-03,2024-06-06,2024-06-08,Carrier D,24.7
10346,10346,2024-06-03,2024-06-09,2024-06-09,Carrier A,66.36
10347,10347,2024-06-01,2024-06-08,,Carrier A,43.44
10348,10348,2024-06-03,2024-06-05,2024-06-05,Carrier B,7.85
10349,10349,2024-06-03,2024-06-06,2024-06-08,Carrier C,18.43
10350,10350,2024-06-01,2024-06-06,2024-06-08,Carrier C,12.66
10351,10351,2024-06-01,2024-06-06,2024-06-04,Carrier A,83.66
10352,10352,2024-06-01,2024-06-07,2024-06-07,Carrier D,53.4
10353,10353,2024-06-03,2024-06-06,2024-06-06,Carrier C,59.75
10354,10354,2024-06-02,2024-06-04,2024-06-04,Carrier D,70.97
10355,10355,2024-06-02,2024-06-06,2024-06-13,Carrier C,32.09
10356,10356,2024-06-03,2024-06-08,2024-06-08,Carrier D,14.33
10357,10357,2024-06-03,2024-06-04,2024-06-04,Carrier B,42.06
10358,10358,2024-06-03,2024-06-04,2024-06-05,Carrier A,68.96
10359,10359,2024-06-02,2024-06-08,2024-06-09,Carrier D,81.04
10360,10360,2024-06-03,2024-06-05,2024-06-05,Carrier D,26.17
10361,10361,2024-06-02,2024-06-07,,Carrier A,64.53
10362,10362,2024-06-03,2024-06-08,2024-06-08,Carrier D,61.82
10363,10363,2024-06-03,2024-06-06,2024-06-06,Carrier A,60.88
10364,10364,2024-06-01,2024-06-06,2024-06-06,Carrier B,69.33
10365,10365,2024-06-02,2024-06-04,2024-06-07,Carrier C,35.51
10366,10366,2024-06-01,2024-06-06,2024-06-06,Carrier D,49.16
10367,10367,2024-06-02,2024-06-09,2024-06-16,Carrier D,61.89
10368,10368,2024-06-01,2024-06-04,2024-06-09,Carrier D,46.81
10369,10369,2024-06-02,2024-06-07,2024-06-07,Carrier B,18.5
10370,10370,2024-06-03,2024-06-09,2024-06-09,Carrier B,16.25
10371,10371,2024-06-02,2024-06-09,2024-06-08,Carrier D,16.13
10372,10372,2024-06-03,2024-06-04,2024-06-05,Carrier B,73.15
10373,10373,2024-06-02,2024-06-07,2024-06-07,Carrier D,40.39
10374,10374,2024-06-03,2024-06-04,,Carrier A,63.81
10375,10375,2024-06-02,2024-06-08,2024-06-09,Carrier D,32.41
10376,10376,2024-06-03,2024-06-05,2024-06-05,Carrier A,11.98
10377,10377,2024-06-03,2024-06-06,2024-06-13,Carrier B,62.3
10378,10378,2024-06-02,2024-06-08,2024-06-08,Carrier B,63.33
10379,10379,2024-06-02,2024-06-05,2024-06-10,Carrier A,78.29
10380,10380,2024-06-01,2024-06-04,2024-06-05,Carrier D,75.97
10381,10381,2024-06-01,2024-06-08,2024-06-06,Carrier B,41.79
10382,10382,2024-06-02,2024-06-04,2024-06-03,Carrier B,54.33
10383,10383,2024-06-01,2024-06-05,2024-06-05,Carrier A,26.82
10384,10384,2024-06-01,2024-06-06,2024-06-06,Carrier A,55.83
10385,10385,2024-06-03,2024-06-04,2024-06-05,Carrier C,50.88
10386,10386,2024-06-01,2024-06-07,2024-06-10,Carrier A,16.99
10387,10387,2024-06-02,2024-06-09,2024-06-12,Carrier B,47.74
10388,10388,2024-06-02,2024-06-07,2024-06-06,Carrier A,81.7
10389,10389,2024-06-03,2024-06-05,2024-06-07,Carrier B,46.03
10390,10390,2024-06-04,2024-06-10,2024-06-13,Carrier D,18.76
10391,10391,2024-06-04,2024-06-08,2024-06-08,Carrier B,22.69
10392,10392,2024-06-02,2024-06-09,2024-06-07,Carrier A,78.45
10393,10393,2024-06-04,2024-06-09,2024-06-16,Carrier D,64.52
10394,10394,2024-06-04,2024-06-08,2024-06-10,Carrier B,6.75
10395,10395,2024-06-03,2024-06-08,2024-06-08,Carrier C,41.32
10396,10396,2024-06-02,2024-06-07,2024-06-10,Carrier A,68.7
10397,10397,2024-06-04,2024-06-09,2024-06-07,Carrier C,46.35
10398,10398,2024-06-03,2024-06-08,2024-06-08,Carrier C,51.63
10399,10399,2024-06-04,2024-06-06,2024-06-08,Carrier B,81.53
10400,10400,2024-06-03,2024-06-07,2024-06-12,Carrier A,59.07
10401,10401,2024-06-04,2024-06-05,2024-06-05,Carrier B,51.44
10402,10402,2024-06-03,2024-06-07,2024-06-07,Carrier A,50.57
10403,10403,2024-06-04,2024-06-08,2024-06-09,Carrier C,33.77
10404,10404,2024-06-03,2024-06-08,2024-06-08,Carrier C,20.01
10405,10405,2024-06-04,2024-06-05,2024-06-05,Carrier B,63.93
10406,10406,2024-06-03,2024-06-06,2024-06-07,Carrier D,68.24
10407,10407,2024-06-03,2024-06-05,2024-06-08,Carrier A,33.59
10408,10408,2024-06-03,2024-06-05,2024-06-05,Carrier D,50.5
10409,10409,2024-06-02,2024-06-08,2024-06-10,Carrier C,34.14
10410,10410,2024-06-02,2024-06-08,2024-06-08,Carrier C,63.65
10411,10411,2024-06-02,2024-06-07,2024-06-07,Carrier A,21.69
10412,10412,2024-06-04,2024-06-08,2024-06-07,Carrier A,32.98
10413,10413,2024-06-02,2024-06-05,2024-06-05,Carrier C,42.36
10414,10414,2024-06-04,2024-06-10,,Carrier A,5.8
10415,10415,2024-06-02,2024-06-08,2024-06-10,Carrier B,48.14
10416,10416,2024-06-02,2024-06-05,2024-06-04,Carrier B,27.11
10417,10417,2024-06-04,2024-06-10,2024-06-10,Carrier D,76.7
10418,10418,2024-06-02,2024-06-07,2024-06-06,Carrier C,51.68
10419,10419,2024-06-02,2024-06-08,2024-06-08,Carrier C,13.04
10420,10420,2024-06-02,2024-06-09,2024-06-10,Carrier B,45.41
10421,10421,2024-06-03,2024-06-07,2024-06-10,Carrier C,58.14
10422,10422,2024-06-03,2024-06-07,2024-06-07,Carrier C,18.96
10423,10423,2024-06-04,2024-06-09,2024-06-07,Carrier C,42.08
10424,10424,2024-06-02,2024-06-06,2024-06-06,Carrier A,54.08
10425,10425,2024-06-04,2024-06-07,2024-06-07,Carrier B,11.23
10426,10426,2024-06-04,2024-06-10,,Carrier D,66.86
10427,10427,2024-06-04,2024-06-09,2024-06-09,Carrier D,57.35
10428,10428,2024-06-04,2024-06-06,2024-06-08,Carrier C,35.73
10429,10429,2024-06-03,2024-06-05,2024-06-05,Carrier B,56.98
10430,10430,2024-06-03,2024-06-10,2024-06-13,Carrier D,43.52
10431,10431,2024-06-02,2024-06-07,2024-06-10,Carrier C,34.38
10432,10432,2024-06-03,2024-06-07,2024-06-07,Carrier A,5.63
10433,10433,2024-06-03,2024-06-07,2024-06-06,Carrier B,37.83
10434,10434,2024-06-04,2024-06-07,2024-06-07,Carrier D,9.42
10435,10435,2024-06-04,2024-06-08,2024-06-07,Carrier B,20.24
10436,10436,2024-06-04,2024-06-07,2024-06-07,Carrier D,66.72
10437,10437,2024-06-02,2024-06-06,2024-06-11,Carrier C,46.03
10438,10438,2024-06-02,2024-06-06,2024-06-06,Carrier D,18.85
10439,10439,2024-06-04,2024-06-10,2024-06-12,Carrier B,56.78
10440,10440,2024-06-02,2024-06-07,2024-06-07,Carrier D,65.1
10441,10441,2024-06-02,2024-06-08,2024-06-10,Carrier D,54.11
10442,10442,2024-06-04,2024-06-07,2024-06-12,Carrier A,78.56
10443,10443,2024-06-03,2024-06-08,2024-06-08,Carrier C,60.42
10444,10444,2024-06-03,2024-06-05,2024-06-05,Carrier D,20.0
10445,10445,2024-06-03,2024-06-09,2024-06-09,Carrier A,44.0
10446,10446,2024-06-03,2024-06-09,2024-06-09,Carrier B,19.91
10447,10447,2024-06-04,2024-06-05,2024-06-05,Carrier B,44.24
10448,10448,2024-06-03,2024-06-08,2024-06-06,Carrier B,48.92
10449,10449,2024-06-03,2024-06-07,2024-06-07,Carrier B,62.43
10450,10450,2024-06-04,2024-06-07,2024-06-09,Carrier D,42.85
10451,10451,2024-06-03,2024-06-05,2024-06-05,Carrier D,71.02
10452,10452,2024-06-03,2024-06-06,,Carrier D,70.48
10453,10453,2024-06-03,2024-06-07,2024-06-07,Carrier A,72.9
10454,10454,2024-06-02,2024-06-06,2024-06-06,Carrier D,22.89
10455,10455,2024-06-03,2024-06-06,2024-06-06,Carrier D,39.51
10456,10456,2024-06-02,2024-06-10,2024-06-10,Carrier C,52.82
10457,10457,2024-06-03,2024-06-10,2024-06-10,Carrier B,53.89
10458,10458,2024-06-03,2024-06-07,2024-06-06,Carrier B,75.18
10459,10459,2024-06-04,2024-06-07,2024-06-12,Carrier B,25.3
10460,10460,2024-06-04,2024-06-07,2024-06-09,Carrier A,34.78
10461,10461,2024-06-03,2024-06-07,,Carrier D,15.84
10462,10462,2024-06-02,2024-06-08,2024-06-09,Carrier D,76.57
10463,10463,2024-06-04,2024-06-10,2024-06-10,Carrier A,8.51
10464,10464,2024-06-02,2024-06-06,2024-06-09,Carrier A,34.95
10465,10465,2024-06-04,2024-06-09,2024-06-11,Carrier B,29.93
10466,10466,2024-06-05,2024-06-08,2024-06-08,Carrier D,16.27
10467,10467,2024-06-04,2024-06-11,2024-06-11,Carrier A,29.68
10468,10468,2024-06-05,2024-06-08,2024-06-08,Carrier A,82.33
10469,10469,2024-06-04,2024-06-09,2024-06-09,Carrier B,61.13
10470,10470,2024-06-05,2024-06-06,2024-06-06,Carrier C,64.94
10471,10471,2024-06-04,2024-06-08,2024-06-08,Carrier A,47.89
10472,10472,2024-06-05,2024-06-10,2024-06-13,Carrier D,38.84
10473,10473,2024-06-03,2024-06-06,2024-06-06,Carrier B,14.08
10474,10474,2024-06-04,2024-06-06,2024-06-11,Carrier B,36.33
10475,10475,2024-06-04,2024-06-07,2024-06-07,Carrier D,30.41
10476,10476,2024-06-04,2024-06-07,2024-06-07,Carrier D,17.62
10477,10477,2024-06-04,2024-06-06,2024-06-09,Carrier C,47.12
10478,10478,2024-06-04,2024-06-06,,Carrier D,63.56
10479,10479,2024-06-05,2024-06-08,2024-06-08,Carrier B,24.64
10480,10480,2024-06-05,2024-06-10,2024-06-10,Carrier A,38.0
10481,10481,2024-06-04,2024-06-09,2024-06-10,Carrier A,12.69
10482,10482,2024-06-03,2024-06-06,2024-06-11,Carrier D,50.73
10483,10483,2024-06-03,2024-06-07,2024-06-10,Carrier C,60.24
10484,10484,2024-06-05,2024-06-09,2024-06-09,Carrier C,19.02
10485,10485,2024-06-04,2024-06-09,2024-06-09,Carrier A,70.84
10486,10486,2024-06-04,2024-06-09,2024-06-14,Carrier A,25.25
10487,10487,2024-06-05,2024-06-08,2024-06-15,Carrier C,47.96
10488,10488,2024-06-03,2024-06-10,2024-06-08,Carrier D,57.56
10489,10489,2024-06-05,2024-06-08,2024-06-08,Carrier B,57.19
10490,10490,2024-06-04,2024-06-08,2024-06-08,Carrier D,43.3
10491,10491,2024-06-04,2024-06-11,2024-06-13,Carrier D,72.85
10492,10492,2024-06-03,2024-06-10,2024-06-10,Carrier C,82.94
10493,10493,2024-06-03,2024-06-06,2024-06-06,Carrier D,82.92
10494,10494,2024-06-03,2024-06-09,2024-06-09,Carrier B,25.34
10495,10495,2024-06-03,2024-06-09,2024-06-08,Carrier A,26.2
10496,10496,2024-06-05,2024-06-07,2024-06-09,Carrier C,48.0
10497,10497,2024-06-04,2024-06-06,,Carrier B,13.19
10498,10498,2024-06-03,2024-06-11,2024-06-11,Carrier B,49.4
10499,10499,2024-06-05,2024-06-10,2024-06-09,Carrier C,59.72
10500,10500,2024-06-05,2024-06-08,2024-06-08,Carrier A,25.76
10501,10501,2024-06-05,2024-06-10,,Carrier A,20.88
10502,10502,2024-06-05,2024-06-07,2024-06-12,Carrier B,48.69
10503,10503,2024-06-05,2024-06-08,2024-06-08,Carrier B,7.5
10504,10504,2024-06-03,2024-06-11,2024-06-11,Carrier B,64.81
10505,10505,2024-06-04,2024-06-06,2024-06-06,Carrier C,80.46
10506,10506,2024-06-04,2024-06-07,,Carrier B,51.53
10507,10507,2024-06-05,2024-06-07,2024-06-07,Carrier C,81.32
10508,10508,2024-06-04,2024-06-07,2024-06-07,Carrier A,84.52
10509,10509,2024-06-03,2024-06-06,2024-06-06,Carrier B,83.49
10510,10510,2024-06-03,2024-06-06,,Carrier C,20.53
10511,10511,2024-06-04,2024-06-10,2024-06-12,Carrier D,84.57
10512,10512,2024-06-03,2024-06-07,2024-06-12,Carrier C,62.86
10513,10513,2024-06-05,2024-06-08,2024-06-07,Carrier B,79.05
10514,10514,2024-06-05,2024-06-10,,Carrier C,45.26
10515,10515,2024-06-05,2024-06-08,2024-06-10,Carrier C,18.54
10516,10516,2024-06-05,2024-06-10,2024-06-11,Carrier D,48.83
10517,10517,2024-06-03,2024-06-07,2024-06-07,Carrier C,80.83
10518,10518,2024-06-05,2024-06-07,2024-06-07,Carrier B,47.78
10519,10519,2024-06-04,2024-06-06,2024-06-06,Carrier C,70.56
10520,10520,2024-06-03,2024-06-11,2024-06-14,Carrier C,55.04
10521,10521,2024-06-05,2024-06-07,2024-06-08,Carrier B,29.62
10522,10522,2024-06-03,2024-06-07,2024-06-12,Carrier B,55.18
10523,10523,2024-06-05,2024-06-09,2024-06-09,Carrier B,11.74
10524,10524,2024-06-04,2024-06-11,2024-06-11,Carrier D,9.65
10525,10525,2024-06-03,2024-06-10,2024-06-10,Carrier D,10.29
10526,10526,2024-06-04,2024-06-08,2024-06-10,Carrier A,63.2
10527,10527,2024-06-05,2024-06-09,2024-06-09,Carrier C,72.9
10528,10528,2024-06-05,2024-06-08,2024-06-08,Carrier A,15.65
10529,10529,2024-06-06,2024-06-07,2024-06-09,Carrier B,57.36
10530,10530,2024-06-05,2024-06-08,2024-06-08,Carrier C,14.53
10531,10531,2024-06-06,2024-06-09,2024-06-09,Carrier D,53.62
10532,10532,2024-06-05,2024-06-07,2024-06-07,Carrier C,44.98
10533,10533,2024-06-05,2024-06-11,,Carrier C,74.03
10534,10534,2024-06-05,2024-06-10,2024-06-10,Carrier B,27.53
10535,10535,2024-06-06,2024-06-09,2024-06-09,Carrier A,53.03
10536,10536,2024-06-05,2024-06-07,2024-06-07,Carrier B,38.97
10537,10537,2024-06-04,2024-06-10,2024-06-10,Carrier C,53.37
10538,10538,2024-06-04,2024-06-07,2024-06-10,Carrier B,31.37
10539,10539,2024-06-06,2024-06-11,2024-06-10,Carrier B,53.09
10540,10540,2024-06-04,2024-06-09,2024-06-07,Carrier C,20.0
10541,10541,2024-06-06,2024-06-07,2024-06-07,Carrier A,13.3
10542,10542,2024-06-05,2024-06-11,2024-06-11,Carrier D,44.46
10543,10543,2024-06-05,2024-06-12,2024-06-12,Carrier D,46.16
10544,10544,2024-06-04,2024-06-08,2024-06-08,Carrier B,25.31
10545,10545,2024-06-06,2024-06-07,2024-06-07,Carrier B,62.99
10546,10546,2024-06-04,2024-06-11,2024-06-11,Carrier A,60.84
10547,10547,2024-06-06,2024-06-07,2024-06-07,Carrier D,56.03
10548,10548,2024-06-06,2024-06-11,2024-06-11,Carrier B,52.9
10549,10549,2024-06-04,2024-06-11,2024-06-11,Carrier C,57.47
10550,10550,2024-06-04,2024-06-07,2024-06-07,Carrier B,22.51
10551,10551,2024-06-06,2024-06-11,2024-06-11,Carrier A,61.88
10552,10552,2024-06-04,2024-06-10,2024-06-10,Carrier C,49.6
10553,10553,2024-06-04,2024-06-09,2024-06-16,Carrier C,69.17
10554,10554,2024-06-06,2024-06-12,2024-06-15,Carrier D,84.15
10555,10555,2024-06-04,2024-06-07,2024-06-10,Carrier A,50.2
10556,10556,2024-06-05,2024-06-08,2024-06-13,Carrier B,30.91
10557,10557,2024-06-04,2024-06-10,2024-06-10,Carrier C,28.69
10558,10558,2024-06-06,2024-06-07,2024-06-07,Carrier A,38.22
10559,10559,2024-06-05,2024-06-10,2024-06-11,Carrier A,61.71
10560,10560,2024-06-06,2024-06-09,2024-06-09,Carrier B,21.4
10561,10561,2024-06-06,2024-06-11,2024-06-13,Carrier B,52.03
10562,10562,2024-06-06,2024-06-12,2024-06-12,Carrier A,47.42
10563,10563,2024-06-05,2024-06-08,2024-06-10,Carrier C,20.55
10564,10564,2024-06-06,2024-06-09,2024-06-09,Carrier C,15.24
10565,10565,2024-06-04,2024-06-10,2024-06-10,Carrier A,54.99
10566,10566,2024-06-04,2024-06-07,2024-06-07,Carrier B,53.24
10567,10567,2024-06-04,2024-06-08,2024-06-08,Carrier A,25.11
10568,10568,2024-06-04,2024-06-11,2024-06-11,Carrier C,38.89
10569,10569,2024-06-06,2024-06-11,2024-06-11,Carrier B,18.33
10570,10570,2024-06-05,2024-06-07,2024-06-07,Carrier A,64.93
10571,10571,2024-06-04,2024-06-07,2024-06-07,Carrier A,34.22
10572,10572,2024-06-04,2024-06-07,2024-06-10,Carrier C,14.52
10573,10573,2024-06-04,2024-06-07,2024-06-07,Carrier D,74.14
10574,10574,2024-06-05,2024-06-12,2024-06-13,Carrier B,59.36
10575,10575,2024-06-06,2024-06-11,2024-06-11,Carrier C,60.93
10576,10576,2024-06-05,2024-06-09,2024-06-07,Carrier C,6.84
10577,10577,2024-06-04,2024-06-10,2024-06-10,Carrier D,9.63
10578,10578,2024-06-04,2024-06-09,2024-06-12,Carrier A,28.21
10579,10579,2024-06-04,2024-06-07,2024-06-07,Carrier B,51.72
10580,10580,2024-06-05,2024-06-09,2024-06-14,Carrier B,40.87
10581,10581,2024-06-04,2024-06-09,2024-06-10,Carrier A,79.58
10582,10582,2024-06-06,2024-06-07,2024-06-10,Carrier C,15.75
10583,10583,2024-06-06,2024-06-12,2024-06-12,Carrier D,39.42
10584,10584,2024-06-06,2024-06-10,2024-06-10,Carrier C,45.32
10585,10585,2024-06-04,2024-06-09,2024-06-09,Carrier B,15.57
10586,10586,2024-06-06,2024-06-11,2024-06-11,Carrier B,61.49
10587,10587,2024-06-04,2024-06-07,2024-06-07,Carrier C,45.56
10588,10588,2024-06-05,2024-06-11,2024-06-11,Carrier C,83.38
10589,10589,2024-06-05,2024-06-10,2024-06-10,Carrier C,10.13
10590,10590,2024-06-04,2024-06-09,2024-06-09,Carrier A,31.96
10591,10591,2024-06-04,2024-06-12,2024-06-10,Carrier B,29.13
10592,10592,2024-06-04,2024-06-12,2024-06-12,Carrier D,57.34
10593,10593,2024-06-04,2024-06-07,2024-06-08,Carrier D,27.28
10594,10594,2024-06-06,2024-06-07,2024-06-09,Carrier D,73.63
10595,10595,2024-06-05,2024-06-09,2024-06-09,Carrier D,40.39
10596,10596,2024-06-05,2024-06-07,2024-06-05,Carrier B,76.98
10597,10597,2024-06-04,2024-06-12,2024-06-12,Carrier B,36.7
10598,10598,2024-06-06,2024-06-10,,Carrier B,84.07
10599,10599,2024-06-07,2024-06-10,2024-06-12,Carrier C,29.36
10600,10600,2024-06-05,2024-06-10,2024-06-15,Carrier B,13.9
10601,10601,2024-06-06,2024-06-10,2024-06-11,Carrier D,21.83
10602,10602,2024-06-05,2024-06-12,2024-06-12,Carrier B,14.99
10603,10603,2024-06-07,2024-06-13,2024-06-13,Carrier C,48.39
10604,10604,2024-06-05,2024-06-10,2024-06-10,Carrier B,19.1
10605,10605,2024-06-05,2024-06-09,2024-06-09,Carrier A,52.49
10606,10606,2024-06-05,2024-06-10,2024-06-13,Carrier B,23.38
10607,10607,2024-06-07,2024-06-10,2024-06-10,Carrier C,33.58
10608,10608,2024-06-07,2024-06-09,2024-06-10,Carrier C,53.39
10609,10609,2024-06-06,2024-06-12,2024-06-12,Carrier C,67.22
10610,10610,2024-06-07,2024-06-10,2024-06-10,Carrier D,64.08
10611,10611,2024-06-06,2024-06-12,,Carrier B,84.66
10612,10612,2024-06-05,2024-06-08,2024-06-08,Carrier D,57.85
10613,10613,2024-06-07,2024-06-12,2024-06-17,Carrier B,42.19
10614,10614,2024-06-07,2024-06-10,2024-06-10,Carrier C,54.67
10615,10615,2024-06-06,2024-06-10,2024-06-10,Carrier A,31.06
10616,10616,2024-06-05,2024-06-13,,Carrier C,10.27
10617,10617,2024-06-05,2024-06-08,2024-06-08,Carrier D,27.17
10618,10618,2024-06-05,2024-06-10,2024-06-10,Carrier B,15.61
10619,10619,2024-06-06,2024-06-10,2024-06-10,Carrier C,43.48
10620,10620,2024-06-07,2024-06-08,2024-06-08,Carrier A,33.7
10621,10621,2024-06-05,2024-06-13,2024-06-16,Carrier D,31.25
10622,10622,2024-06-06,2024-06-08,2024-06-08,Carrier A,58.08
10623,10623,2024-06-05,2024-06-12,,Carrier A,55.99
10624,10624,2024-06-07,2024-06-10,2024-06-15,Carrier B,32.1
10625,10625,2024-06-06,2024-06-11,2024-06-11,Carrier A,38.63
10626,10626,2024-06-05,2024-06-12,2024-06-12,Carrier A,49.54
10627,10627,2024-06-05,2024-06-11,2024-06-13,Carrier B,36.34
10628,10628,2024-06-06,2024-06-12,2024-06-12,Carrier B,79.07
10629,10629,2024-06-07,2024-06-10,2024-06-10,Carrier D,12.12
10630,10630,2024-06-06,2024-06-11,2024-06-11,Carrier D,8.98
10631,10631,2024-06-06,2024-06-13,2024-06-13,Carrier A,31.17
10632,10632,2024-06-07,2024-06-08,2024-06-09,Carrier D,63.59
10633,10633,2024-06-06,2024-06-08,2024-06-08,Carrier C,67.49
